"EventType","EventID","SubjectID","ToolInstances","ParentEventID","ServerTimestamp","ServerTimezone","CourseID","CourseSectionID","TermID","ProblemID","ProgramResult","EventInitiator","ProgramInput","ProgramOutput","CodeStateID","CodeStateSection"
"File.Edit","1060","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c53",""
"File.Edit","1080","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c54",""
"File.Edit","1100","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c55",""
"File.Edit","1120","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c56",""
"File.Edit","1140","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c57",""
"File.Edit","1160","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c58",""
"File.Edit","1180","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c59",""
"File.Edit","1220","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c61",""
"File.Edit","1240","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c62",""
"File.Edit","1260","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c63",""
"File.Edit","1280","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c64",""
"File.Edit","1300","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c65",""
"File.Edit","1320","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c66",""
"File.Edit","1340","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c67",""
"File.Edit","1360","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c68",""
"File.Edit","1380","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c69",""
"File.Edit","1400","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c70",""
"File.Edit","1420","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c71",""
"File.Edit","1440","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c72",""
"File.Edit","1460","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c73",""
"File.Edit","1480","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c74",""
"File.Edit","1500","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c75",""
"File.Edit","1520","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c76",""
"File.Edit","1540","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c77",""
"File.Edit","1560","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c78",""
"File.Edit","1580","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c79",""
"File.Edit","1600","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c80",""
"File.Edit","1620","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c81",""
"File.Edit","1640","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c82",""
"File.Edit","1660","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c83",""
"File.Edit","1680","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c84",""
"File.Edit","1700","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c85",""
"File.Edit","1720","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c86",""
"File.Edit","1740","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c87",""
"File.Edit","1760","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c88",""
"File.Edit","1780","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c89",""
"File.Edit","1800","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c90",""
"File.Edit","1820","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c91",""
"File.Edit","1840","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c92",""
"File.Edit","1860","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c93",""
"File.Edit","1880","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c94",""
"File.Edit","1900","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c95",""
"File.Edit","1920","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c96",""
"File.Edit","1940","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c97",""
"File.Edit","1960","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c98",""
"File.Edit","1980","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c99",""
"File.Edit","2000","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c100",""
"File.Edit","2020","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c101",""
"File.Edit","2040","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c102",""
"File.Edit","2060","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c103",""
"File.Edit","2080","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c104",""
"File.Edit","2100","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c105",""
"File.Edit","2140","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c107",""
"File.Edit","2160","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c108",""
"File.Edit","2180","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c109",""
"File.Edit","2200","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c110",""
"File.Edit","2220","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c111",""
"File.Edit","2240","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c112",""
"File.Edit","2260","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","User","","","u1/p2/c113",""
"Submit","2280","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","","","","","",""
"Compile","2280","1","CloudCoder 0.1.4","","2019-07-30T13:04Z","-0500","1","","","2","Success","User","","","",""
"Run.Test","20","1","CloudCoder 0.1.4","114","2019-07-30T13:04Z","-0500","1","","","2","Success","User","10","","",""
"Run.Test","40","1","CloudCoder 0.1.4","114","2019-07-30T13:04Z","-0500","1","","","2","Success","User","14","","",""
"Run.Test","60","1","CloudCoder 0.1.4","114","2019-07-30T13:04Z","-0500","1","","","2","Success","User","37","","",""
"File.Open","2300","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","","","","",""
"File.Edit","2320","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c116",""
"File.Edit","2340","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c117",""
"File.Edit","2360","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c118",""
"File.Edit","2380","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c119",""
"File.Edit","2400","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c120",""
"File.Edit","2420","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c121",""
"File.Edit","2440","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c122",""
"File.Edit","2460","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c123",""
"File.Edit","2480","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c124",""
"File.Edit","2500","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c125",""
"File.Edit","2520","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c126",""
"File.Edit","2540","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c127",""
"File.Edit","2560","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c128",""
"File.Edit","2580","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c129",""
"File.Edit","2600","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c130",""
"File.Edit","2640","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c132",""
"File.Edit","2660","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c133",""
"File.Edit","2680","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c134",""
"File.Edit","2700","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c135",""
"File.Edit","2720","2","CloudCoder 0.1.4","","2019-07-30T15:43Z","-0500","1","","","2","","User","","","u2/p2/c136",""
